Date,Open,High,Low,Close,Adj Close,Volume,Conversion,Baseline,SpanA,SpanB,Lagging,label,group,over_cloud,a_over_b,conv_over_base,price_over_conv,position,daily_return
2018-01-25,1063.219970703125,1104.6600341796875,1034.739990234375,1056.030029296875,1056.030029296875,4050190080,974.0159912109375,1071.49951171875,666.9499969482422,588.2429809570312,895.3709716796875,1,2,1,1,-1,1,2,
2018-01-26,1052.699951171875,1080.5999755859375,996.7839965820312,1055.1700439453125,1055.1700439453125,3617690112,1043.8249816894531,1087.4420166015625,675.1324920654297,588.2429809570312,849.9710083007812,1,2,1,1,-1,1,2,-0.0008143569100351744
2018-01-27,1055.75,1121.97998046875,1042.1199951171875,1107.0699462890625,1107.0699462890625,3002870016,1043.8249816894531,1102.6130065917969,675.1324920654297,590.0679779052734,812.844970703125,1,2,1,1,-1,1,2,0.04918629242893857
2018-01-28,1111.780029296875,1257.77001953125,1111.780029296875,1246.010009765625,1246.010009765625,5372329984,1089.1549987792969,1106.9010009765625,734.3145141601562,606.6715087890625,864.1890258789062,1,2,1,1,-1,1,2,0.1255025158458094
2018-01-29,1246.699951171875,1256.699951171875,1169.0799560546875,1182.3599853515625,1182.3599853515625,3715079936,1089.1549987792969,1106.9010009765625,765.921760559082,640.7480010986328,840.5150146484375,1,2,1,1,-1,1,2,-0.051083076311750575
2018-01-30,1184.1300048828125,1184.6300048828125,1058.969970703125,1071.1300048828125,1071.1300048828125,4107859968,1089.1549987792969,1106.9010009765625,801.2262344360352,680.9214782714844,844.8099975585938,1,2,1,1,-1,1,2,-0.09407454738556376
2018-01-31,1071.0899658203125,1128.6600341796875,1034.5,1118.31005859375,1118.31005859375,3757560064,1089.1549987792969,1106.9010009765625,818.7787628173828,699.4980010986328,869.3150024414062,1,2,1,1,-1,-1,0,0.04404699102430554
2018-02-01,1119.3699951171875,1161.3499755859375,984.8189697265625,1036.7900390625,1036.7900390625,5261680128,1111.7890014648438,1106.9010009765625,835.1262588500977,699.4980010986328,878.2650146484375,1,2,1,1,1,1,4,-0.07289572234891606
2018-02-02,1035.77001953125,1035.77001953125,757.97998046875,915.7849731445312,915.7849731445312,6713290240,1007.875,1095.4299926757812,883.8332824707031,740.3465270996094,855.198974609375,1,2,1,1,-1,1,2,-0.11671125431276863
2018-02-03,919.2109985351562,991.9429931640625,847.6900024414062,964.0189819335938,964.0189819335938,3243480064,1007.875,1095.4299926757812,946.9352874755859,797.3085327148438,872.2000122070312,1,2,-1,1,-1,-1,-2,0.052669578780531134
2018-02-04,964.6669921875,969.031982421875,805.0640258789062,834.6820068359375,834.6820068359375,2997090048,1007.875,1095.4299926757812,981.9315032958984,832.8599853515625,856.85302734375,1,2,-1,1,-1,-1,-2,-0.13416434481221196
2018-02-05,834.9580078125,856.64599609375,644.5989990234375,697.9509887695312,697.9509887695312,4269530112,951.1845092773438,1038.739501953125,1037.7170104980469,884.0364990234375,857.2249755859375,1,2,-1,1,-1,-1,-2,-0.16381210682223524
2018-02-06,707.7369995117188,796.4390258789062,574.4190063476562,793.1220092773438,793.1220092773438,6518269952,915.5594787597656,1003.6495056152344,1061.7432556152344,884.0364990234375,866.677978515625,1,2,-1,1,-1,-1,-2,0.13635774150215973
2018-02-07,790.427978515625,851.2000122070312,723.4329833984375,757.0679931640625,757.0679931640625,3896179968,879.5245056152344,1003.6495056152344,1081.1520080566406,888.7635040283203,853.6840209960938,1,2,-1,1,-1,-1,-2,-0.04545834775929625
2018-02-08,755.843017578125,845.0859985351562,755.843017578125,817.8070068359375,817.8070068359375,3708189952,867.8844909667969,987.4895324707031,1091.4617614746094,904.4840087890625,816.9509887695312,1,2,-1,1,-1,-1,-2,0.08022927163784144
2018-02-09,818.47998046875,884.0040283203125,788.833984375,883.864990234375,883.864990234375,2495820032,867.8844909667969,982.5044860839844,1101.0360107421875,917.0615081787109,752.8309936523438,1,2,-1,1,-1,-1,-2,0.08077453830337444
2018-02-10,882.4669799804688,917.4000244140625,825.5770263671875,860.4149780273438,860.4149780273438,2930530048,805.0945129394531,933.5245056152344,1106.3930053710938,917.0615081787109,704.5960083007812,1,2,-1,1,-1,1,0,-0.02653121513593726
2018-02-11,859.2880249023438,859.2880249023438,788.2219848632812,814.6599731445312,814.6599731445312,2486650112,783.1809997558594,916.0945129394531,1071.2667541503906,917.0615081787109,728.916015625,1,2,-1,1,-1,1,0,-0.0531778340118092
2018-02-12,817.5079956054688,875.93701171875,817.5079956054688,868.7069702148438,868.7069702148438,2243450112,771.7254943847656,916.0945129394531,1065.4010009765625,917.0615081787109,686.8900146484375,1,2,-1,1,-1,1,0,0.06634301285442423
2018-02-13,869.2930297851562,870.708984375,828.8369750976562,845.2579956054688,845.2579956054688,2081170048,745.9095153808594,916.0945129394531,1065.4010009765625,917.0615081787109,723.3389892578125,1,2,-1,1,-1,1,0,-0.026992962429639222
2018-02-14,844.2789916992188,926.4290161132812,844.2789916992188,923.5609741210938,923.5609741210938,2818370048,750.4240112304688,916.0945129394531,1082.978256225586,917.0615081787109,699.8309936523438,1,2,-1,1,-1,1,0,0.0926379625188114
2018-02-15,923.72802734375,951.947998046875,911.1110229492188,936.9760131835938,936.9760131835938,2900100096,837.6904907226562,916.0945129394531,1082.978256225586,917.0615081787109,690.8270263671875,1,2,-1,1,-1,1,0,0.01452534206013456
2018-02-16,934.7860107421875,950.0050048828125,917.8480224609375,944.2100219726562,944.2100219726562,2369449984,853.8955078125,916.0945129394531,1082.978256225586,923.6455078125,614.291015625,1,2,-1,1,-1,1,0,0.007720591228886686
2018-02-17,944.7479858398438,976.594970703125,940.7540283203125,974.114990234375,974.114990234375,2525720064,882.4084777832031,916.0945129394531,1074.8982696533203,923.6455078125,611.3040161132812,1,2,-1,1,-1,1,0,0.03167194539964835
2018-02-18,973.3489990234375,982.9329833984375,915.4450073242188,923.9210205078125,923.9210205078125,2567290112,885.5774841308594,916.0945129394531,1072.405746459961,923.6455078125,601.666015625,1,2,-1,1,-1,1,0,-0.05152776646470214
2018-02-19,921.6680297851562,957.7769775390625,921.5540161132812,943.864990234375,943.864990234375,2169019904,885.5774841308594,916.0945129394531,1047.915756225586,923.6455078125,552.7789916992188,1,2,-1,1,-1,1,0,0.02158622791762088
2018-02-20,943.5670166015625,965.2650146484375,892.9539794921875,895.3709716796875,895.3709716796875,2545260032,900.2204895019531,916.0945129394531,1022.7577514648438,923.6455078125,538.6439819335938,1,2,-1,1,-1,1,0,-0.051378130406813494
2018-02-21,894.135009765625,912.375,830.56298828125,849.9710083007812,849.9710083007812,2531729920,905.8849792480469,916.0945129394531,1065.6334991455078,923.6455078125,556.7260131835938,1,2,-1,1,-1,-1,-2,-0.05070519909053717
2018-02-22,849.2620239257812,875.926025390625,802.6680297851562,812.844970703125,812.844970703125,2150370048,892.8005065917969,916.0945129394531,1073.218994140625,923.6455078125,557.1749877929688,1,2,-1,1,-1,-1,-2,-0.043679181095690245
2018-02-23,811.5850219726562,886.3179931640625,794.791015625,864.1890258789062,864.1890258789062,2334820096,888.8619995117188,915.5594787597656,1098.0279998779297,927.6235046386719,561.7319946289062,1,2,-1,1,-1,-1,-2,0.06316586437308924
2018-02-24,861.593017578125,879.531005859375,818.5499877929688,840.5150146484375,840.5150146484375,1926579968,888.8619995117188,879.5245056152344,1098.0279998779297,931.1970062255859,539.7020263671875,1,2,-1,1,1,-1,0,-0.02739448259759092
2018-02-25,839.458984375,853.14599609375,822.3809814453125,844.8099975585938,844.8099975585938,1646960000,888.8619995117188,867.8844909667969,1098.0279998779297,931.1970062255859,539.6190185546875,1,2,-1,1,1,-1,0,0.0051099419228730625
2018-02-26,845.2780151367188,880.3920288085938,842.3189697265625,869.3150024414062,869.3150024414062,2044480000,888.8619995117188,867.8844909667969,1098.0279998779297,935.9920043945312,526.4390258789062,1,2,-1,1,1,-1,0,0.029006528040185664
2018-02-27,870.364990234375,896.2589721679688,867.0969848632812,878.2650146484375,878.2650146484375,2053980032,880.0280151367188,805.0945129394531,1109.3450012207031,968.6869964599609,524.2869873046875,1,2,-1,1,1,-1,0,0.010295476532552472
2018-02-28,877.9340209960938,890.1079711914062,855.1240234375,855.198974609375,855.198974609375,1963980032,880.0280151367188,783.1809997558594,1051.6524963378906,988.3210144042969,489.95098876953125,1,2,-1,1,1,-1,0,-0.02626318896272517
2018-03-01,856.0120239257812,880.302001953125,851.9199829101562,872.2000122070312,872.2000122070312,1868519936,853.5830078125,778.6759948730469,1051.6524963378906,988.3210144042969,450.1159973144531,1,2,-1,1,1,1,2,0.019879628136155958
2018-03-02,871.7639770507812,876.3779907226562,852.4219970703125,856.85302734375,856.85302734375,1894419968,845.5249938964844,778.6759948730469,1051.6524963378906,988.3210144042969,446.27899169921875,1,2,-1,1,1,1,2,-0.017595717322276716
2018-03-03,856.7109985351562,868.4539794921875,855.2069702148438,857.2249755859375,857.2249755859375,1699369984,845.5249938964844,778.6759948730469,994.9620056152344,988.3210144042969,385.9679870605469,1,2,-1,1,1,1,2,0.0004340863955869523
2018-03-04,856.1859741210938,867.9500122070312,840.280029296875,866.677978515625,866.677978515625,1697939968,857.4044799804688,853.1829833984375,959.6044921875,988.3210144042969,394.6449890136719,0,3,-1,-1,1,-1,-2,0.01102744693506641
2018-03-05,866.8460083007812,869.9199829101562,853.52001953125,853.6840209960938,853.6840209960938,1898489984,859.3199768066406,869.3880004882812,941.5870056152344,988.3210144042969,396.4570007324219,0,3,-1,-1,-1,1,-2,-0.014992832218705066
2018-03-06,853.8170166015625,853.8170166015625,809.9310302734375,816.9509887695312,816.9509887695312,1943069952,853.0950012207031,885.5774841308594,927.68701171875,988.3210144042969,379.60699462890625,0,3,-1,-1,-1,1,-2,-0.04302883891829412
2018-03-07,816.27099609375,825.6069946289062,726.5469970703125,752.8309936523438,752.8309936523438,2175419904,811.4029846191406,854.739990234375,925.1944885253906,988.3210144042969,386.42498779296875,0,3,-1,-1,-1,1,-2,-0.07848695454027577
2018-03-08,752.5700073242188,773.7670288085938,696.1690063476562,704.5960083007812,704.5960083007812,1891640064,793.1384887695312,839.5509948730469,869.3095092773438,988.3210144042969,416.89300537109375,0,3,-1,-1,-1,-1,-4,-0.06407146591767099
2018-03-09,702.197021484375,729.156005859375,648.1069946289062,728.916015625,728.916015625,2233019904,764.2044982910156,815.5199890136719,849.6377563476562,988.3210144042969,380.5429992675781,0,3,-1,-1,-1,-1,-4,0.03451624340431536
2018-03-10,730.1599731445312,748.031005859375,682.6950073242188,686.8900146484375,686.8900146484375,1532960000,762.2424926757812,815.5199890136719,843.9100036621094,1003.6495056152344,383.23199462890625,0,3,-1,-1,-1,-1,-4,-0.057655477552551515
2018-03-11,685.31201171875,735.8309936523438,668.1229858398438,723.3389892578125,723.3389892578125,1562680064,759.0134887695312,815.5199890136719,831.0020141601562,1003.6495056152344,370.2850036621094,0,3,-1,-1,-1,-1,-4,0.05306377124732298
2018-03-12,724.406005859375,742.5139770507812,683.2680053710938,699.8309936523438,699.8309936523438,1764999936,759.0134887695312,815.5199890136719,833.2592620849609,1003.6495056152344,385.3139953613281,0,3,-1,-1,-1,-1,-4,-0.03249927897511695
2018-03-13,698.1530151367188,713.7349853515625,682.3499755859375,690.8270263671875,690.8270263671875,1425959936,759.0134887695312,815.5199890136719,876.8925018310547,1003.6495056152344,400.50799560546875,0,3,-1,-1,-1,-1,-4,-0.012865916723930004
2018-03-14,691.218994140625,702.7839965820312,594.0999755859375,614.291015625,614.291015625,1810560000,723.95849609375,788.5164794921875,884.9950103759766,1003.6495056152344,398.5260009765625,0,3,-1,-1,-1,-1,-4,-0.11078896427179907
