iter	Passed	Remaining
0	20	11107
1	22	6247
2	25	4577
3	27	3737
4	29	3259
5	32	2947
6	34	2714
7	37	2535
8	39	2400
9	42	2284
10	44	2199
11	47	2131
12	50	2072
13	52	2021
14	55	1974
15	57	1930
16	60	1906
17	63	1888
18	66	1870
19	69	1844
20	72	1822
21	75	1800
22	77	1778
23	80	1764
24	83	1746
25	85	1730
26	88	1709
27	90	1687
28	93	1679
29	96	1666
30	98	1650
31	101	1635
32	103	1623
33	106	1615
34	109	1606
35	111	1596
36	114	1586
37	116	1575
38	119	1566
39	122	1559
40	125	1552
41	127	1543
42	130	1535
43	132	1525
44	135	1517
45	137	1511
46	140	1501
47	142	1492
48	145	1483
49	147	1474
50	149	1464
51	152	1456
52	154	1447
53	156	1439
54	159	1432
55	161	1423
56	163	1416
57	165	1407
58	168	1400
59	170	1392
60	172	1385
61	175	1378
62	177	1370
63	179	1363
64	181	1355
65	183	1348
66	186	1341
67	188	1336
68	190	1329
69	193	1323
70	195	1317
71	197	1310
72	199	1305
73	202	1299
74	204	1294
75	205	1283
76	208	1278
77	210	1273
78	212	1268
79	214	1263
80	217	1257
81	219	1252
82	222	1249
83	224	1244
84	226	1239
85	228	1234
86	231	1229
87	233	1225
88	235	1220
89	237	1216
90	240	1211
91	242	1207
92	244	1203
93	247	1198
94	249	1194
95	251	1190
96	254	1187
97	256	1183
98	258	1179
99	261	1175
100	263	1171
101	265	1167
102	268	1163
103	270	1161
104	273	1157
105	275	1153
106	277	1149
107	280	1146
108	282	1142
109	284	1138
110	287	1135
111	289	1131
112	291	1128
113	293	1124
114	296	1120
115	298	1116
116	301	1114
117	303	1112
118	306	1110
119	308	1106
120	311	1103
121	313	1100
122	316	1097
123	318	1093
124	320	1090
125	323	1086
126	325	1083
127	327	1079
128	329	1076
129	332	1074
130	335	1072
131	337	1069
132	340	1066
133	342	1063
134	345	1060
135	347	1057
136	349	1054
137	352	1051
138	354	1047
139	356	1044
140	359	1041
141	361	1037
142	363	1034
143	365	1031
144	368	1028
145	370	1025
146	372	1021
147	374	1018
148	377	1014
149	379	1011
150	381	1008
151	384	1006
152	386	1002
153	388	999
154	390	996
155	393	993
156	395	989
157	397	986
158	400	983
159	402	980
160	404	977
161	406	974
162	409	971
163	411	967
164	413	964
165	415	961
166	417	958
167	420	955
168	422	952
169	424	949
170	426	946
171	429	943
172	431	940
173	434	937
174	436	934
175	438	931
176	440	928
177	443	925
178	445	922
179	447	920
180	449	917
181	452	914
182	454	911
183	456	908
184	459	905
185	461	902
186	463	899
187	465	896
188	468	893
189	470	890
190	472	887
191	474	885
192	476	882
193	479	879
194	481	877
195	484	874
196	486	871
197	488	868
198	491	866
199	493	863
200	496	861
201	498	858
202	500	855
203	503	853
204	505	850
205	507	848
206	510	845
207	513	843
208	516	842
209	519	840
210	521	838
211	524	835
212	526	833
213	529	831
214	532	829
215	534	827
216	538	825
217	540	823
218	555	839
219	558	838
220	561	836
221	564	834
222	567	832
223	570	830
224	573	828
225	576	825
226	578	823
227	581	821
228	584	819
229	587	817
230	590	815
231	593	813
232	596	811
233	599	809
234	601	806
235	604	804
236	607	801
237	609	799
238	612	796
239	615	795
240	618	793
241	621	790
242	624	789
243	627	786
244	630	784
245	632	781
246	635	779
247	638	777
248	640	774
249	643	772
250	646	770
251	649	767
252	652	765
253	655	763
254	657	761
255	660	758
256	663	756
257	666	754
258	669	752
259	672	750
260	676	748
261	679	746
262	682	745
263	685	742
264	688	740
265	692	738
266	695	737
267	698	734
268	701	732
269	705	731
270	709	730
271	713	728
272	716	726
273	719	724
274	722	722
275	725	720
276	728	717
277	731	715
278	734	713
279	737	711
280	741	709
281	744	707
282	747	705
283	750	702
284	753	700
285	755	697
286	758	694
287	761	692
288	763	689
289	766	687
290	769	684
291	772	682
292	774	679
293	777	677
294	780	674
295	782	671
296	785	669
297	788	666
298	791	664
299	794	661
300	796	659
301	799	656
302	802	653
303	804	651
304	807	648
305	810	646
306	813	643
307	815	641
308	819	638
309	822	636
310	825	634
311	828	631
312	831	629
313	834	627
314	838	625
315	841	623
316	845	621
317	848	619
318	852	617
319	855	614
320	858	612
321	861	609
322	863	607
323	867	605
324	870	602
325	873	600
326	876	598
327	879	595
328	883	593
329	886	590
330	889	588
331	891	585
332	894	583
333	898	580
334	900	578
335	903	575
336	906	573
337	909	570
338	911	567
339	914	564
340	916	561
341	918	558
342	921	555
343	923	553
344	925	550
345	927	547
346	930	544
347	932	541
348	934	538
349	936	535
350	939	532
351	941	529
352	944	526
353	946	524
354	949	521
355	952	518
356	954	516
357	957	513
358	960	510
359	962	508
360	965	505
361	968	502
362	971	500
363	973	497
364	977	495
365	979	492
366	982	489
367	985	487
368	988	484
369	990	481
370	993	479
371	996	476
372	999	474
373	1001	471
374	1004	468
375	1007	466
376	1010	463
377	1013	461
378	1016	458
379	1018	455
380	1021	453
381	1024	450
382	1027	448
383	1030	445
384	1033	442
385	1036	440
386	1039	437
387	1041	435
388	1044	432
389	1047	429
390	1050	427
391	1053	424
392	1056	421
393	1059	419
394	1061	416
395	1064	414
396	1067	411
397	1070	408
398	1073	406
399	1076	403
400	1079	401
401	1081	398
402	1084	395
403	1086	392
404	1089	389
405	1091	387
406	1093	384
407	1096	381
408	1098	378
409	1101	376
410	1103	373
411	1106	370
412	1109	367
413	1111	365
414	1113	362
415	1116	359
416	1118	356
417	1121	354
418	1123	351
419	1126	348
420	1129	346
421	1132	343
422	1135	340
423	1137	338
424	1140	335
425	1143	332
426	1145	330
427	1148	327
428	1151	324
429	1153	322
430	1156	319
431	1159	316
432	1162	314
433	1164	311
434	1167	308
435	1170	305
436	1172	303
437	1175	300
438	1178	297
439	1181	295
440	1184	292
441	1187	290
442	1189	287
443	1192	284
444	1194	281
445	1196	279
446	1199	276
447	1202	273
448	1204	271
449	1207	268
450	1209	265
451	1212	262
452	1214	260
453	1216	257
454	1219	254
455	1221	251
456	1223	249
457	1226	246
458	1228	243
459	1230	240
460	1233	238
461	1235	235
462	1237	232
463	1239	229
464	1242	227
465	1244	224
466	1246	221
467	1248	218
468	1251	216
469	1253	213
470	1255	210
471	1257	207
472	1259	205
473	1262	202
474	1264	199
475	1266	196
476	1269	194
477	1271	191
478	1273	188
479	1275	186
480	1278	183
481	1280	180
482	1283	178
483	1285	175
484	1287	172
485	1290	169
486	1292	167
487	1295	164
488	1297	161
489	1300	159
490	1302	156
491	1305	153
492	1307	151
493	1309	148
494	1311	145
495	1314	143
496	1316	140
497	1319	137
498	1321	135
499	1323	132
500	1326	129
501	1328	127
502	1330	124
503	1333	121
504	1335	119
505	1337	116
506	1340	113
507	1342	110
508	1345	108
509	1347	105
510	1349	103
511	1351	100
512	1354	97
513	1356	94
514	1358	92
515	1360	89
516	1363	87
517	1365	84
518	1367	81
519	1369	79
520	1371	76
521	1374	73
522	1376	71
523	1378	68
524	1381	65
525	1383	63
526	1385	60
527	1388	57
528	1390	55
529	1392	52
530	1395	49
531	1397	47
532	1399	44
533	1402	42
534	1404	39
535	1406	36
536	1409	34
537	1411	31
538	1414	28
539	1416	26
540	1418	23
541	1420	20
542	1423	18
543	1425	15
544	1427	13
545	1430	10
546	1432	7
547	1434	5
548	1436	2
549	1438	0
